county,indicator,Unit,Date,Value
Nyamira,Postneonatal mortality rate,,2022,4
Nyamira,Neonatal mortality rate,,2014,32
Nyamira,Neonatal mortality rate,,2022,27
Siaya,Under-five mortality rate,,2014,87
Siaya,Under-five mortality rate,,2022,63
Siaya,Child mortality rate,,2014,41
Siaya,Child mortality rate,,2022,19
Siaya,Infant mortality rate,,2014,48
Siaya,Infant mortality rate,,2022,45
Siaya,Postneonatal mortality rate,,2014,32
Siaya,Postneonatal mortality rate,,2022,22
Siaya,Neonatal mortality rate,,2014,16
Siaya,Neonatal mortality rate,,2022,24
Rift Valley,Under-five mortality rate,,1989,51
Rift Valley,Under-five mortality rate,,1993,61
Rift Valley,Under-five mortality rate,,1998,68
Rift Valley,Under-five mortality rate,,2003,77
Rift Valley,Under-five mortality rate,,2008,59
Rift Valley,Under-five mortality rate,,2014,45
Rift Valley,Under-five mortality rate,,2022,40
Rift Valley,Child mortality rate,,1989,17
Rift Valley,Child mortality rate,,1993,17
Rift Valley,Child mortality rate,,1998,18
Rift Valley,Child mortality rate,,2003,17
Rift Valley,Child mortality rate,,2008,12
Rift Valley,Child mortality rate,,2014,12
Rift Valley,Child mortality rate,,2022,8
Rift Valley,Infant mortality rate,,1989,35
Rift Valley,Infant mortality rate,,1993,45
Rift Valley,Infant mortality rate,,1998,50
Rift Valley,Infant mortality rate,,2003,61
Rift Valley,Infant mortality rate,,2008,48
Rift Valley,Infant mortality rate,,2014,34
Rift Valley,Infant mortality rate,,2022,33
Rift Valley,Postneonatal mortality rate,,1989,18
Rift Valley,Postneonatal mortality rate,,1993,20
Rift Valley,Postneonatal mortality rate,,1998,22
Rift Valley,Postneonatal mortality rate,,2003,25
Rift Valley,Postneonatal mortality rate,,2008,18
Rift Valley,Postneonatal mortality rate,,2014,14
Rift Valley,Postneonatal mortality rate,,2022,12
Rift Valley,Neonatal mortality rate,,1989,17
Rift Valley,Neonatal mortality rate,,1993,25
Rift Valley,Neonatal mortality rate,,1998,28
Rift Valley,Neonatal mortality rate,,2003,37
Rift Valley,Neonatal mortality rate,,2008,30
Rift Valley,Neonatal mortality rate,,2014,20
Rift Valley,Neonatal mortality rate,,2022,21
Baringo,Under-five mortality rate,,2014,40
Baringo,Under-five mortality rate,,2022,55
Baringo,Child mortality rate,,2014,8
Baringo,Child mortality rate,,2022,5
Baringo,Infant mortality rate,,2014,33
Baringo,Infant mortality rate,,2022,50
Baringo,Postneonatal mortality rate,,2014,9
Baringo,Postneonatal mortality rate,,2022,17
Baringo,Neonatal mortality rate,,2014,24
Baringo,Neonatal mortality rate,,2022,33
Elgeyo Marakwet,Under-five mortality rate,,2014,27
Elgeyo Marakwet,Under-five mortality rate,,2022,33
Elgeyo Marakwet,Child mortality rate,,2014,3
Elgeyo Marakwet,Child mortality rate,,2022,1
Elgeyo Marakwet,Infant mortality rate,,2014,24
Elgeyo Marakwet,Infant mortality rate,,2022,32
Elgeyo Marakwet,Postneonatal mortality rate,,2014,9
Elgeyo Marakwet,Postneonatal mortality rate,,2022,5
Elgeyo Marakwet,Neonatal mortality rate,,2014,16
Elgeyo Marakwet,Neonatal mortality rate,,2022,27
Bomet,Under-five mortality rate,,2014,50
Bomet,Under-five mortality rate,,2022,28
Bomet,Child mortality rate,,2014,5
Bomet,Child mortality rate,,2022,3
Bomet,Infant mortality rate,,2014,45
Bomet,Infant mortality rate,,2022,26
Bomet,Postneonatal mortality rate,,2014,17
Bomet,Postneonatal mortality rate,,2022,9
